中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
8.209.88.30,443,8.209.88.30,DE,Frankfurt,中转,77 ms
8.211.29.249,443,8.211.29.249,DE,Frankfurt,中转,71 ms
8.211.59.161,443,98.98.156.18,US,Frankfurt,隧道,66 ms
47.245.162.229,443,47.245.162.229,DE,Frankfurt,中转,2 ms
8.209.107.253,443,2a0b:21c0:100a:1b2:0:fddc:7f0d:28c6,NL,Frankfurt,隧道,2 ms
8.209.110.4,443,2a0b:21c0:100a:1fa:0:a792:f467:3727,NL,Frankfurt,隧道,68 ms
47.245.180.239,443,47.245.180.239,DE,Frankfurt,中转,3 ms
47.254.27.0,443,47.254.27.0,US,San Jose,中转,2 ms
47.88.23.45,443,47.88.23.45,US,San Jose,中转,2 ms
47.245.128.150,443,2a0b:21c0:100a:1b2:0:59e4:50f4:452c,NL,Frankfurt,隧道,2 ms
47.254.172.57,443,47.254.172.57,DE,Amsterdam,中转,2 ms
47.91.86.3,443,47.91.86.3,DE,Frankfurt,中转,2 ms
198.11.172.251,443,198.11.172.251,US,San Jose,中转,2 ms
8.209.79.65,443,8.209.79.65,DE,Frankfurt,中转,1 ms
